# Série;Designação da série (PT);Métrica;Unidade de Medida;Período de referência;Valor;Estado
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;1995-12-31;55388.88;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;1996-12-31;59736.13;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;1997-12-31;60084.11;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;1998-12-31;61929.97;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;1999-12-31;66266.85;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2000-03-31;68740.63;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2000-06-30;68340.39;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2000-09-30;69384.57;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2000-12-31;69591.78;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2001-03-31;70098.47;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2001-06-30;72798.43;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2001-09-30;75017.63;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2001-12-31;77908.00;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2002-03-31;77762.74;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2002-06-30;79742.51;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2002-09-30;82813.45;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2002-12-31;85594.88;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2003-03-31;89364.79;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2003-06-30;87801.01;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2003-09-30;90567.31;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2003-12-31;93333.39;
12561508;Dívida das administrações públicas - Mensal - M€;Valor;Milhões de euros;2004-03-31;94034.64;
